loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
0.007668306119740009,0.007668306119740009,0.007735236082226038,0.007735236082226038,0.0010000000474974513
0.00683163944631815,0.00683163944631815,0.007743392139673233,0.007743392139673233,0.0010000000474974513
0.0067922621965408325,0.0067922621965408325,0.007620560936629772,0.007620560936629772,0.0010000000474974513
0.006769712083041668,0.006769712083041668,0.007485686801373959,0.007485686801373959,0.0010000000474974513
0.0067451344802975655,0.0067451344802975655,0.007667218334972858,0.007667218334972858,0.0010000000474974513
0.006688062567263842,0.006688062567263842,0.0077211069874465466,0.0077211069874465466,0.0010000000474974513
0.006676814053207636,0.006676814053207636,0.007536927238106728,0.007536927238106728,0.0010000000474974513
0.006637171842157841,0.006637171842157841,0.007547509390860796,0.007547509390860796,0.0010000000474974513
0.006687660701572895,0.006687660701572895,0.007700550835579634,0.007700550835579634,0.0010000000474974513
0.00651769433170557,0.00651769433170557,0.007458957843482494,0.007458957843482494,0.0005000000237487257
