loss,mean_squared_error,val_loss,val_mean_squared_error
0.011831613257527351,0.00672216946259141,0.009672887623310089,0.008146993815898895
0.007504608947783709,0.006460446864366531,0.008121199905872345,0.00741878617554903
0.006896387320011854,0.006362560670822859,0.007920807227492332,0.007497851271182299
0.00670582102611661,0.006348182447254658,0.0076438006944954395,0.007326538674533367
0.006550551392138004,0.006248498801141977,0.0076189301908016205,0.007352699525654316
0.006533327512443066,0.006264846306294203,0.0074808052740991116,0.0071840290911495686
0.006454882677644491,0.006176984403282404,0.0074337441474199295,0.007165230344980955
0.006466306746006012,0.00619705393910408,0.007428282871842384,0.007157843094319105
0.006430550944060087,0.006159152835607529,0.007422168273478746,0.00716434046626091
0.006464309524744749,0.006197249982506037,0.007459728047251701,0.007182199973613024
0.006409163121134043,0.006151340436190367,0.007499307859688997,0.00721431989222765
0.006468732375651598,0.006199976895004511,0.007454038131982088,0.0072006224654614925
0.006384247448295355,0.006124543491750956,0.007349010556936264,0.007095474284142256
0.0064041768200695515,0.006145563907921314,0.007417021784931421,0.007186678238213062
0.0063769021071493626,0.006125058513134718,0.007344046141952276,0.0070996638387441635
0.006369716487824917,0.006118368823081255,0.007411669474095106,0.007172335870563984
0.006358805112540722,0.0061227972619235516,0.007325716782361269,0.007073609624058008
0.006360860541462898,0.006121660582721233,0.007403654512017965,0.007185653317719698
0.006333622615784407,0.006104226224124432,0.007275728974491358,0.007050671614706516
0.006376867648214102,0.006153356283903122,0.0074618179351091385,0.007217385806143284
0.006348953116685152,0.006112264934927225,0.007727517746388912,0.007506669033318758
0.0063512856140732765,0.006120393518358469,0.00729773286730051,0.007071011234074831
0.006322137545794249,0.006094586569815874,0.007422572001814842,0.00719553604722023
0.006278285291045904,0.00605474878102541,0.007303481921553612,0.00706854835152626
0.006290634162724018,0.006064218003302813,0.007327591069042683,0.007109318859875202
0.006290030665695667,0.0060743773356080055,0.007467815652489662,0.007236007135361433
0.006304092705249786,0.006084882188588381,0.00732871750369668,0.0071380180306732655
0.006336352787911892,0.006133904680609703,0.007305223029106855,0.0070874812081456184
0.006283941213041544,0.0060735358856618404,0.007305504754185677,0.007096715737134218
0.006249318830668926,0.006046225316822529,0.007243289612233639,0.00703037716448307
0.006272200960665941,0.006070535164326429,0.007257409859448671,0.007053768262267113
0.006285978481173515,0.006089345086365938,0.007324116304516792,0.007127419579774141
0.0062722074799239635,0.006070366594940424,0.007604009937494993,0.007396562024950981
0.0062507325783371925,0.00604922603815794,0.007270975038409233,0.007073040585964918
0.0062610856257379055,0.006059421692043543,0.007221257779747248,0.00702336709946394
0.006224119570106268,0.00602953415364027,0.007444503251463175,0.007245154120028019
0.00619681878015399,0.006002753973007202,0.007491707801818848,0.007266447879374027
0.006258316803723574,0.006065377499908209,0.007282399572432041,0.007078894879668951
0.006259615533053875,0.006074815988540649,0.007395673077553511,0.0072217476554214954
0.0062676286324858665,0.006088925525546074,0.0072145708836615086,0.007027835119515657
0.006250249687582254,0.006067976821213961,0.007253272924572229,0.007062285672873259
0.006231328006833792,0.0060437824577093124,0.007393585983663797,0.007209228817373514
0.006208606995642185,0.006029284093528986,0.007311388850212097,0.0071203638799488544
0.00625486858189106,0.006069579627364874,0.007267726119607687,0.007094524800777435
0.006242912728339434,0.0060676876455545425,0.007343462202697992,0.007171990349888802
0.006244476418942213,0.00606827437877655,0.007282739970833063,0.0070909615606069565
0.006247442215681076,0.006067438051104546,0.0074813333339989185,0.007316319737583399
0.006228070240467787,0.006051492411643267,0.007338899653404951,0.007174184545874596
0.006197457667440176,0.00602779071778059,0.0073211523704230785,0.007150338497012854
0.006204012781381607,0.006033843383193016,0.007221296429634094,0.007055601570755243
