Model Rank,Activation,Batch Size,Epochs,Train MSE (recalculated),Train RMSE (recalculated),Validation MSE (recalculated),Validation RMSE (recalculated),Test MSE (recalculated),Test RMSE (recalculated)
1,tanh,32,100,0.005707153981545003,0.07554570789624651,0.006780698090968933,0.08234499432855001,0.007874189035841734,0.088736627363461
2,tanh,4,100,0.005760121520976711,0.0758954644295475,0.006781609324907381,0.08235052716836354,0.007873624792024008,0.08873344798904192
3,tanh,16,100,0.005621883487714243,0.07497922037280891,0.006799880334426945,0.0824613869300471,0.00796353524170237,0.08923864208795633
4,tanh,4,50,0.005689225166128751,0.07542695251784173,0.006802311535980073,0.08247612706704936,0.007909367318032073,0.08893462384264114
5,tanh,16,50,0.005772625136074697,0.07597779370365197,0.006827527869350219,0.0826288561541924,0.007922740829201202,0.08900977940204774
